Model,Accuracy,Train-test run time in Seconds,Best estimator
KNN,88.98750699541978,135.49613666534424,"KNeighborsClassifier(leaf_size=1, n_neighbors=2, p=1)"
Logistics Regression,87.35748935405955,153.67515182495117,"LogisticRegression(C=1.9909999999999997, class_weight='balanced',
                   random_state=7, solver='liblinear')"
Decision Tree,90.46623598485327,10.14154601097107,"DecisionTreeClassifier(min_samples_split=402, random_state=42)"
SVC,86.26122950974133,346.957706451416,"SVC(C=10, max_iter=30, tol=1e-05)"
